ID,FileBase,Species,Strain,LocusTag,BioSample,BioProject,Type
CBS735_70,P01-D07-CBS735x70,Mucor nederlandicus,CBS 735.70,AAIG10,SAMN41114288,PRJNA1105992,No
CBS762_74,P01-E07-CBS762x74,Mucor velutinosus,CBS 762.74,AAIG12,SAMN41114294,PRJNA1105993,No
CBS763_74,P01-F07-CBS763x74,Mucor amphibiorum,CBS 763.74,AAIG18,SAMN41114319,PRJNA1105995,No
CBS816_70,P01-G07-CBS816x70,Mucor prayagensis,CBS 816.70,AAIG19,SAMN41114437,PRJNA1105997,No
CBS893_73,P01-C09-CBS893x73,Mucor flavus,CBS 893.73,AAIG20,SAMN41114501,PRJNA1106004,No
CBS962_68,P01-H07-CBS962x68,Pirella circinans,CBS 962.68,AAIG21,SAMN41114525,PRJNA1106005,No
CBS974_60,P01-D08-CBS974x60,Mucor saturninus,CBS 974.60,AAIG22,SAMN41114535,PRJNA1106006,No
EMLQT1,P01-H01-EML-QT1,Mucor koreanus,EML-QT1,AAIG37,SAMN41114747,PRJNA1106014,No
NRZ2022_0058,P01-D02-NRZ-2022-0058,Mucor sp.,NRZ 2022-0058,AAIG40,SAMN41114753,PRJNA1106015,No
OTU100,P01-E01-OTU100,Mucor microsporus,OTU100,AAIG42,SAMN41114754,PRJNA1106017,No
URM7218,P01-F08-URM7218,Mucor circinatus,URM7218,AAIG44,SAMN41114987,PRJNA1106019,No
URM7223,P01-G08-URM7223,Mucor merdicola,URM7223,AAIG45,SAMN41115004,PRJNA1106023,Yes
URM7322,P01-E08-URM7322,Mucor caatinguensis,URM7322,AAIG47,SAMN41115090,PRJNA1106025,Yes
